year,state,state_fips,candidate,party,candidatevotes,totalvotes,vote_share,two_party_votes,two_party_vote_share
1984,Wyoming,56,"MONDALE, WALTER",Democrat,53370,188968,28.2428771,186611,28.59960024
1988,Wyoming,56,"BUSH, GEORGE H.W.",Republican,106867,176551,60.53038499,173980,61.42487642
1988,Wyoming,56,"DUKAKIS, MICHAEL",Democrat,67113,176551,38.01337857,173980,38.57512358
1992,Wyoming,56,"BUSH, GEORGE H.W.",Republican,79347,199884,39.69652398,147507,53.79202343
1992,Wyoming,56,"CLINTON, BILL",Democrat,68160,199884,34.09977787,147507,46.20797657
1996,Wyoming,56,"DOLE, ROBERT",Republican,105388,211571,49.81211981,183322,57.48791743
1996,Wyoming,56,"CLINTON, BILL",Democrat,77934,211571,36.83586125,183322,42.51208257
2000,Wyoming,56,"BUSH, GEORGE W.",Republican,147947,213726,69.22274314,208428,70.98230564
2000,Wyoming,56,"GORE, AL",Democrat,60481,213726,28.29838204,208428,29.01769436
2004,Wyoming,56,"BUSH, GEORGE W.",Republican,167629,243861,68.73956885,238405,70.31270317
2004,Wyoming,56,"KERRY, JOHN",Democrat,70776,243861,29.02309102,238405,29.68729683
2008,Wyoming,56,"MCCAIN, JOHN",Republican,164958,254904,64.7137746,247826,66.56202336
2008,Wyoming,56,"OBAMA, BARACK H.",Democrat,82868,254904,32.50949377,247826,33.43797664
2012,Wyoming,56,"ROMNEY, MITT",Republican,170962,250701,68.19358519,240248,71.16063401
2012,Wyoming,56,"OBAMA, BARACK H.",Democrat,69286,250701,27.63690612,240248,28.83936599
2016,Wyoming,56,"TRUMP, DONALD J.",Republican,174419,258788,67.39841105,230392,75.70531963
2016,Wyoming,56,"CLINTON, HILLARY",Democrat,55973,258788,21.62890088,230392,24.29468037
2020,Wyoming,56,"BIDEN, JOSEPH R. JR",Democrat,73491,278503,26.38786656,267050,27.51956562
2020,Wyoming,56,"TRUMP, DONALD J.",Republican,193559,278503,69.49978995,267050,72.48043438
